Subject_ID,Group,Pearson_r,Pearson_p,Spearman_rho,Jaccard,Cosine_Similarity,Mean_Abs_Diff,RMSD,Rank
sub-10005,HC,0.7016650419894763,0.0,0.7016812895135506,0.336986301369863,0.9403316821089641,0.04914112589216924,0.06252116996976997,1
sub-10025,HC,0.7014799244705494,0.0,0.7018209739979703,0.34213421342134215,0.9407534379139272,0.04828431441701497,0.061844068488190344,2
sub-10006,HC,0.6985449161686732,0.0,0.6972411289531341,0.34583563154991726,0.9399378437001789,0.048967288430804425,0.06276950527447732,3
sub-10011,HC,0.6969796049367125,0.0,0.698202816588112,0.336986301369863,0.9396504489698962,0.049060232105362485,0.06255608364721667,4
sub-10003,HC,0.6968025434799897,0.0,0.6939273883168116,0.32752992383025026,0.939402507481781,0.04906798948108679,0.06273328952972868,5
sub-10001,HC,0.6964249025365399,0.0,0.6972277012013928,0.3347921225382932,0.9387113072341603,0.049404238152740754,0.06293257622486055,6
sub-10015,HC,0.6953556569411082,0.0,0.6943342486671418,0.3347921225382932,0.9401119429662845,0.04908868695780573,0.062433208792446376,7
sub-10026,HC,0.6953512959852313,0.0,0.6951878595221651,0.321061180292366,0.9395416839983364,0.04919116857655275,0.06243709540803803,8
sub-10007,HC,0.6943247083119695,0.0,0.6970333195953433,0.3196322336398053,0.9400098566532162,0.04913094233041768,0.0628342122903955,9
sub-10008,HC,0.6939865594082094,0.0,0.6958452957480209,0.3355227148330597,0.9392199480161968,0.048940808486846184,0.06294297200585772,10
sub-10002,HC,0.6939704984438609,0.0,0.692324311769455,0.3465783664459161,0.9390224506538312,0.04936887168805239,0.06310710179862847,11
sub-10030,HC,0.6928305684501789,0.0,0.6881790904587625,0.3391877058177827,0.9396131382493301,0.049299866285338306,0.06279675429666744,12
sub-10024,HC,0.6922124377013956,0.0,0.6897515715810919,0.34881149806522943,0.9384547349131377,0.04922777242531238,0.06270898935648528,13
sub-10020,HC,0.6914124310464336,0.0,0.6913685540474978,0.3391877058177827,0.9384418860126171,0.04970602143819933,0.06324331790863143,14
sub-10013,HC,0.6914005376198886,0.0,0.6913176983662316,0.34732192159028163,0.9398927666701444,0.04901148614476525,0.06281346859082519,15
sub-10009,HC,0.6913493746819606,0.0,0.6916804375327462,0.3318777292576419,0.9382629455702872,0.049949179791262996,0.0638105231119003,16
sub-10022,HC,0.6908321050160809,0.0,0.6911870667840782,0.3318777292576419,0.9391640459533561,0.049127979851828915,0.06274527720839655,17
sub-10028,HC,0.6906953802282497,0.0,0.6906058970309913,0.34065934065934067,0.9387116438985169,0.0493212102128441,0.06283514736314741,18
sub-10021,HC,0.6902648776898943,0.0,0.6894596256264093,0.329700272479564,0.9377231763961016,0.049169113535815136,0.06326652433336043,19
sub-10019,HC,0.6899395778778489,0.0,0.6899551084077745,0.329700272479564,0.9380496103473329,0.04988513477039873,0.06385302993364761,20
sub-10016,HC,0.6897548616685043,0.0,0.6922803357279834,0.3318777292576419,0.9380040451224135,0.049202618576934684,0.06312097864064702,21
sub-10017,HC,0.689250908716864,0.0,0.688432345468436,0.3355227148330597,0.9387397434671617,0.049651248281162325,0.06288760671365802,22
sub-10018,HC,0.688528630564329,0.0,0.6917718374533943,0.3232104121475054,0.9378048752594382,0.04923836156287123,0.06313974280194491,23
sub-10031,HC,0.6884788633264775,0.0,0.6886040346263067,0.3362541073384447,0.9381546174529702,0.04964326914010088,0.06324496663817392,24
sub-10023,HC,0.6883043057643419,0.0,0.6902643024909187,0.3224932249322493,0.9373310837987372,0.05003390046346912,0.06340866084213388,25
sub-10012,HC,0.6881249882845535,0.0,0.6880857098221776,0.3347921225382932,0.9389464722843166,0.049551492611359486,0.06310132698389825,26
sub-10014,HC,0.6859044399512884,0.0,0.6881727413262176,0.321061180292366,0.9366569409287393,0.049948033925269746,0.0641459577220257,27
sub-10010,HC,0.6850879726966512,0.0,0.6849710261089016,0.3232104121475054,0.9368926252943273,0.04992374430139898,0.06375339793377542,28
sub-10004,HC,0.6835779585873959,0.0,0.6875656908339138,0.3217768147345612,0.93699136537261,0.05015074195350659,0.06435428889471834,29
sub-10029,HC,0.6806073891351094,0.0,0.6798696139876319,0.3174946004319654,0.9361184787697582,0.05073318827929276,0.06457141723941635,30
sub-10027,HC,0.6786293526027133,0.0,0.6784671595406566,0.3217768147345612,0.9372022436473417,0.05016037588832272,0.06384278249553813,31
sub-30005,AD,0.6004285700464083,0.0,0.6099771227876679,0.2532100667693888,0.9102764445823811,0.06194200975424179,0.08158953211317746,32
sub-30027,AD,0.5998680766855028,0.0,0.6101304528580166,0.25256673511293637,0.9100177682557714,0.061818560879519494,0.08153167564182354,33
sub-30026,AD,0.5996687712671658,0.0,0.6091412498703365,0.26098191214470284,0.9105215142764599,0.0622424013189955,0.0816176122985057,34
sub-30013,AD,0.5993448051843753,0.0,0.6090637835784536,0.2538540596094553,0.9102528592596354,0.061416781066474004,0.08114300841324243,35
sub-30035,AD,0.5992563692122568,0.0,0.6093143490186104,0.24046771733604475,0.9104432691956816,0.061656393376689295,0.08174151081777924,36
sub-30008,AD,0.5988587620320074,0.0,0.6102963349282029,0.23857868020304568,0.9095448157536478,0.06177896186903066,0.0817753476003388,37
sub-30032,AD,0.5981183358556792,0.0,0.6072272254967165,0.24616956077630234,0.9099695306896227,0.06188905163771451,0.08140155748866876,38
sub-30011,AD,0.5980755386529581,0.0,0.6063609081610248,0.2436289500509684,0.9110022759075331,0.06152963526950423,0.08138709385640878,39
sub-30014,AD,0.5978002803335102,0.0,0.6084496513266072,0.25773195876288657,0.9108776565885396,0.06149627491130885,0.08140526086213784,40
sub-30002,AD,0.5974133704868096,0.0,0.6074364358409059,0.2474437627811861,0.90927864249449,0.06164908890671207,0.08198331576811846,41
sub-30030,AD,0.597074623545969,0.0,0.6097693618069343,0.2442631310555839,0.9109408947837588,0.06135797068328196,0.08108463702377676,42
sub-30003,AD,0.5970423015037543,0.0,0.6067757738642193,0.2532100667693888,0.91099851781543,0.06126699918415206,0.08103918771706996,43
sub-30012,AD,0.5970367857957198,0.0,0.6053541984013138,0.25,0.9103278177951706,0.06140703656618267,0.08114056508049158,44
sub-30022,AD,0.5960446880628902,0.0,0.6040804389342372,0.25064069707842135,0.9100759734060991,0.06183973409722634,0.0816491180784677,45
sub-30020,AD,0.5954525832567874,0.0,0.6046281158612072,0.23795027904616944,0.9114703304538916,0.06105849955032976,0.08059667677962781,46
sub-30029,AD,0.594574771155808,0.0,0.6048564323395851,0.23857868020304568,0.9092138452206708,0.06165570952540751,0.08139329798385103,47
sub-30025,AD,0.594232751957473,0.0,0.6026525345651119,0.2474437627811861,0.9088806594109352,0.06189139680749564,0.08149082604942864,48
sub-30007,AD,0.5942004290412286,0.0,0.6041885294267416,0.2468063362289218,0.909969686094831,0.06166647812057521,0.08184634185307493,49
sub-30034,AD,0.5941340203051445,0.0,0.6040970960076534,0.25,0.9084304368461597,0.06232577992752034,0.08256316530967403,50
sub-30023,AD,0.5937444017120367,0.0,0.6022680974053574,0.2512820512820513,0.909532579402915,0.06233227664286407,0.0824607849960978,51
