Subject_ID,Group,Pearson_r,Pearson_p,Spearman_rho,Jaccard,Cosine_Similarity,Mean_Abs_Diff,RMSD,Rank
sub-30016,AD,0.7818338032252898,0.0,0.7710283625513369,0.42656524283206554,0.9460898594287671,0.05011020430697701,0.06296182487602987,25
sub-30019,AD,0.7816858694501082,0.0,0.7675950568692264,0.436652916912198,0.9467407174110121,0.050007573068329,0.0623845875445266,26
sub-30031,AD,0.7814376356578545,0.0,0.7665586215186249,0.43243243243243246,0.9462342198289043,0.05027178541444601,0.06274807165479614,27
sub-30025,AD,0.7808382083150844,0.0,0.7708291078604096,0.4375,0.9462373235302718,0.04972613551191179,0.06278333533617331,28
sub-30020,AD,0.7796251515683527,0.0,0.7659839210113004,0.4307511737089202,0.9464308145355522,0.049875965241659576,0.06234725487403265,29
sub-30011,AD,0.7794061207269467,0.0,0.7655346251127765,0.4451689389448725,0.9463424703688789,0.049993830615236295,0.06264264555998067,30
sub-30015,AD,0.7791633321260274,0.0,0.7626212950004373,0.44260355029585796,0.9460565424501912,0.05000744458835349,0.06255991891530181,31
sub-30007,AD,0.778978572423849,0.0,0.7665790379153837,0.4257309941520468,0.9461228975921627,0.05013023249589086,0.06284702795607121,32
sub-30012,AD,0.7779680113999985,0.0,0.7647318493296594,0.4307511737089202,0.9456030784658386,0.05027698325160622,0.06285285500539793,33
sub-30026,AD,0.7777845842335693,0.0,0.7656253308988924,0.4307511737089202,0.9455476622987835,0.05062586919911947,0.06322806754489278,34
sub-30002,AD,0.7764340850796104,0.0,0.7622824818237576,0.4232340922358436,0.9464523680603515,0.049770418527614,0.062470772551100916,35
sub-10013,HC,0.6767418692751882,0.0,0.6762477043816613,0.31570426335671886,0.9360371587399694,0.05122674426741341,0.0644191786668708,36
sub-10025,HC,0.6721431812617953,0.0,0.6700970265906092,0.30864197530864196,0.9335039882472923,0.052387823493364356,0.06559944728395875,37
sub-10026,HC,0.6714067975151021,0.0,0.6729878795190466,0.3185505678745268,0.9348581001535056,0.051599284468628034,0.06512974518393695,38
sub-10018,HC,0.671201467576165,0.0,0.6712341096746098,0.31216361679224974,0.9352601231953208,0.051443554915320655,0.06479664930731573,39
sub-10012,HC,0.670335702006057,0.0,0.6671120363705816,0.33515881708652795,0.9339049738965243,0.05215356609381438,0.06554744178785728,40
sub-10015,HC,0.6696389430422761,0.0,0.6694811554305414,0.3242802824551874,0.9345851967436222,0.051548304397796986,0.064982081602409,41
sub-10001,HC,0.6694476479394278,0.0,0.6718065511089816,0.2988811933937134,0.9346357606935642,0.05170660294292224,0.06491908301351901,42
sub-10024,HC,0.6693783920925367,0.0,0.6699888020123088,0.3044408774745853,0.9340929668206,0.05175569817083008,0.06514171941791663,43
sub-10010,HC,0.6682991752313759,0.0,0.670318437708852,0.2995735607675906,0.9335385664382663,0.05186127738897798,0.06529999794922553,44
